"age_yrBP","depth_m","deuterium_permille","temp_anomaly_C"
"6027.92334","201.85","-394.5",-0.02
"6047.11182","202.4","-396.8",-0.4
"6066.76611","202.95","-399.2",-0.8
"6086.92725","203.5","-394",0.06
"6106.67334","204.05","-391.4",0.49
"6126.71484","204.6","-403.5",-1.52
"6146.75195","205.15","-389.5",0.8
"6165.99609","205.7","-399.9",-0.93
"6185.56348","206.25","-397.4",-0.51
"6205.3252","206.8","-398.6",-0.71
"6224.92188","207.35","-394.1",0.03
"6244.90576","207.9","-398.4",-0.68
"6265.25293","208.45","-401.7",-1.23
"6285.96436","209","-392.6",0.27
"6306.17871","209.55","-395.4",-0.19
"6325.78125","210.1","-402.1",-1.3
"6346.05469","210.65","-403.6",-1.55
"6367.22217","211.2","-396.5",-0.38
"6387.99365","211.75","-402.5",-1.37
"6409.05469","212.3","-398.8",-0.76
"6430.11035","212.85","-397",-0.47
"6449.43555","213.4","-389.4",0.79
"6468.30127","213.95","-395",-0.14
"6487.40918","214.5","-404.9",-1.78
"6508.77686","215.05","-402.2",-1.34
"6530.53564","215.6","-389.2",0.81
"6550.47754","216.15","-397",-0.48
"6569.66113","216.7","-401.8",-1.27
"6590.10791","217.25","-398.4",-0.71
"6611.98047","217.8","-407.8",-2.27
"6633.31201","218.35","-395.4",-0.22
"6654.39893","218.9","-403.1",-1.5
"6675.47266","219.45","-406.1",-2
"6695.09766","220","-390.4",0.6
"6714.92676","220.55","-392.6",0.23
"6734.95068","221.1","-395.7",-0.28
"6754.85059","221.65","-402.9",-1.47
"6775.19922","222.2","-401.9",-1.31
"6796.66455","222.75","-401.2",-1.2
"6817.73438","223.3","-400.4",-1.07
"6837.80859","223.85","-397.5",-0.59
"6857.56445","224.4","-389.4",0.75
"6876.75293","224.95","-395.4",-0.25
"6894.72949","225.5","-387.9",0.99
"6913.03467","226.05","-398.3",-0.73
"6933.19678","226.6","-398.7",-0.8
"6953.43799","227.15","-401.3",-1.23
"6973.75098","227.7","-396.8",-0.49
"6993.71631","228.25","-395.6",-0.29
"7013.37988","228.8","-402.5",-1.44
"7034.45752","229.35","-399.5",-0.94
"7055.52197","229.9","-397.8",-0.66
"7076.34229","230.45","-400.5",-1.11
"7096.71631","231","-400.8",-1.16
"7117.57666","231.55","-396.1",-0.39
"7138.54639","232.1","-405.3",-1.91
"7159.63916","232.65","-411.9",-3
"7183.03809","233.2","-401.7",-1.32
"7206.14893","233.75","-399.3",-0.93
"7227.69482","234.3","-404.7",-1.82
"7248.8374","234.85","-403.1",-1.56
"7270.31396","235.4","-402.3",-1.43
"7291.77637","235.95","-396.1",-0.4
"7311.01465","236.5","-388.3",0.88
"7329.80273","237.05","-398.5",-0.81
"7349.2124","237.6","-406.3",-2.1
"7370.96484","238.15","-399.9",-1.04
"7392.32568","238.7","-404.7",-1.84
"7414.37549","239.25","-403.8",-1.69
"7436.4126","239.8","-395",-0.24
"7457.46973","240.35","-402.8",-1.53
"7477.94238","240.9","-404.2",-1.77
"7498.46387","241.45","-399.1",-0.93
"7518.73486","242","-393.3",0.03
"7538.68262","242.55","-399.1",-0.93
"7557.28027","243.1","-389.2",0.7
"7576.21826","243.65","-397.7",-0.71
